날짜,누적확진자
20211221,575595
20211222,583047
20211223,589961
20211224,596194
20211225,602034
20211226,607447
20211227,611650
20211228,615514
20211229,620921
20211230,625955
20211231,630828
20220101,635243
20220102,639074
20220103,642199
20220104,645220
20220105,649661
20220106,653783
20220107,657496
20220108,661003
20220109,664374
20220110,667379
20220111,670471
20220112,674854
20220113,679018
20220114,683556
20220115,687975
20220116,692164
20220117,696018
20220118,700080
20220119,705883
20220120,712483
20220121,719249
20220122,726253
20220123,733879
20220124,741390
20220125,749960
20220126,762969
20220127,777483
20220128,793576
20220129,811089
20220130,828611
20220131,845688
20220201,864026
20220202,884294
20220203,907200
20220204,934638
20220205,970983
20220206,1009672
20220207,1044955
20220208,1081672
20220209,1131239
20220210,1185361
20220211,1239264
20220212,1294199
20220213,1350627
20220214,1405244
20220215,1462408
20220216,1552843
20220217,1645975
20220218,1755798
20220219,1858008
20220220,1962822
20220221,2058161
20220222,2157730
20220223,2329172
20220224,2499187
20220225,2665074
20220226,2831256
20220227,2994817
20220228,3134441
20220301,3273431
20220302,3492659
20220303,3691459
20220304,3958309
20220305,4212636
20220306,4456261
20220307,4666970
20220308,4869672
20220309,5212101
20220310,5539639
20220311,5822612
20220312,6206229
20220313,6556411
20220314,6866190
20220315,7228493
