영화코드,영화명(국문),상영시간,장르,감독,배우1,배우2,배우3,참여 영화사1,참여 영화사2
20050333,왕의 남자,119.0,드라마,이준익,감우성,이준기,유해진,(주)씨네월드,(주)이글픽쳐스
20050338,"나니아 연대기-사자,마녀 그리고 옷장",139.0,가족,앤드류 아담슨,조지 헨리,스캔더 킨즈,없음,월트 디즈니 픽쳐스,브에나비스타인터내셔널코리아
20050324,킹콩,186.0,드라마,피터 잭슨,잭 블랙,애드리언 브로디,나오미 왓츠,유니버셜 픽쳐스,UIP코리아
20050326,태풍,125.0,드라마,곽경택,김혜정,김원진,이정재,CJ ENM,CJ ENM
20050330,작업의 정석,100.0,코미디,오기환,손예진,송일국,김애경,영화사청어람(주),(주)쇼박스
20050342,청연,133.0,드라마,윤종찬,장진영,김주혁,김응수,코리아픽쳐스(주),코리아픽쳐스(주)
20050310,해리 포터와 불의 잔,156.0,액션,마이크 뉴웰,다니엘 래드클리프,루퍼트 그린트,엠마 왓슨,워너 브러더스 픽쳐스,워너브러더스 코리아(주)
20050305,나의 결혼원정기,123.0,드라마,황병국,정재영,수애,유준상,튜브픽쳐스(주),롯데쇼핑㈜롯데엔터테인먼트
20050001,2005 [통합]패키지영화,,없음,없음,없음,없음,없음,없음,없음
20050332,파랑주의보,95.0,드라마,전윤수,송혜교,차태현,김신영,(주)아이필름홀딩스,아이러브시네마
20050341,빅 화이트,104.0,코미디,마크 미로드,로빈 윌리엄스,홀리 헌터,우디 해럴슨,CJ ENM,(주)유레카픽쳐스 
20050321,브로큰 플라워,105.0,코미디,짐 자무시,빌 머레이,제프리 라이트,제시카 랭,스폰지,스폰지
20050292,광식이 동생 광태,104.0,코미디,김현석,김주혁,봉태규,이요원,(주)엠케이픽처스 ,(주)엠케이픽처스 
20050331,"우리, 사랑해도 되나요?",102.0,멜로/로맨스,토마스 베주차,클레어 데인즈,레이첼 맥아담스,없음,이십세기폭스필름코퍼레이션,이십세기폭스필름코퍼레이션
20050346,싸움의 기술,95.0,코미디,신한솔,백윤식,재희,김응수,코리아 엔터테인먼트,CJ ENM
20050318,6월의 일기,106.0,드라마,임경수,신은경,이상기,김윤진,(주)필름앤픽쳐스 ,(주)쇼박스
20050322,프라임 러브,105.0,코미디,벤 영거,메릴 스트립,우마 서먼,브라이언 그린버그,포커스피쳐스,(주)튜브엔터테인먼트
20050353,퍼햅스 러브,106.0,뮤지컬,진가상,금성무,지진희,주신,쇼이스트(주),쇼이스트(주)
20050306,애인,98.0,멜로/로맨스,김태은,성현아,조동혁,박준영,기획시대(주),(주)쇼박스
20050319,저스트 라이크 헤븐,94.0,코미디,마크 S. 워터스,마크 러팔로,리즈 위더스푼,없음,드림웍스 SKG,CJ ENM
20050323,연애,100.0,드라마,오석근,김지숙,전미선,장현성,(주)필름나루,(주)싸이더스
20050280,미스터 소크라테스,109.0,액션,최진원,김래원,강신일,이종혁,㈜커리지필름,(주)오죤필름
20050291,그림형제 : 마르바덴 숲의 전설,118.0,판타지,테리 길리엄,히스 레저,맷 데이먼,없음,디멘션 필름즈,메트로-골드윈-마이어
20050288,무영검,104.0,액션,김영준,신현준,이서진,윤소이,(주)태원엔터테인먼트,CJ ENM
20050320,둠,104.0,액션,안드레이 바르코비악,칼 어번,드웨인 존슨,없음,유니버셜 픽쳐스,UIP코리아
20050255,플라이트 플랜,98.0,드라마,로베르트 슈벤트케,피터 사스가드,없음,없음,터치스톤 픽쳐스,이메이진엔터테인먼트
20050261,야수와 미녀,101.0,코미디,이계벽,류승범,신민아,김강우,시오필름(주),(주)쇼박스
20050284,도쿄타워,125.0,드라마,미나모토 타카시,한다 켄토,테라지마 시노부,오카다 준이치,토쿄 브로드캐스팅 시스팀,도에이
20050082,이터널 선샤인,107.0,멜로/로맨스,미셸 공드리,짐 캐리,케이트 윈슬렛,커스틴 던스트,포커스피쳐스,(주)노바미디어
20050290,로드 오브 워,118.0,액션,앤드류 니콜,에단 호크,니콜라스 케이지,없음,미디어필름인터내셔날(주),미디어필름인터내셔날(주)
20050278,월래스와 그로밋 : 거대토끼의 저주,84.0,애니메이션,닉 파크,랄프 파인즈,헬레나 본햄 카터,없음,드림웍스 SKG,CJ ENM
20050253,유령신부(애니),77.0,애니메이션,팀 버튼,헬레나 본햄 카터,조니 뎁,없음,워너 브러더스 픽쳐스,워너브러더스 코리아(주)
20050289,엘리자베스타운,123.0,코미디,카메론 크로우,수잔 서랜든,커스틴 던스트,올랜도 블룸,파라마운트 픽쳐스,UIP코리아
20050283,"소년, 천국에 가다",114.0,드라마,윤태용,염정아,박해일,홍수연,(주)싸이더스,(주)크리스마스엔터테인먼트
20050286,블루스톰,109.0,액션,존 스톡웰,폴 워커,제시카 알바,없음,콜럼비아 픽쳐스 필름 프로덕션,이십세기폭스필름코퍼레이션
20050271,오로라 공주,106.0,범죄,방은진,엄정화,문성근,권오중,(주)이스트필름,(주)시네마서비스
20050276,"사랑해, 말순씨",92.0,드라마,박흥식,김동영,이재응,문소리,블루스톰(주),쇼이스트(주)
20050232,내 생애 가장 아름다운 일주일,129.0,멜로/로맨스,민규동,황정민,엄정화,김유정,(주)두사부필름,(주)수필름
20050263,레전드 오브 조로,130.0,액션,마틴 캠벨,캐서린 제타-존스,안토니오 반데라스,없음,엠블린엔터테인먼트,스파이글라스 엔터테인먼트
20050277,40살까지 못해본 사람,115.0,코미디,주드 아패토우,캐서린 키너,스티브 카렐,없음,어파토우프로덕션즈,유니버셜 픽쳐스
20050256,새드무비,108.0,드라마,권종관,신민아,염정아,임수정,(주)아이필름홀딩스,롯데쇼핑㈜롯데엔터테인먼트
20050275,스테이,99.0,드라마,마크 포스터,이완 맥그리거,나오미 왓츠,없음,이십세기폭스필름코퍼레이션,이십세기폭스필름코퍼레이션
20050254,퍼펙트 웨딩(몬스터 인 로),101.0,코미디,로버트 루게틱,제인 폰다,제니퍼 로페즈,없음,뉴라인 시네마,(주)튜브엔터테인먼트
20050239,너는 내 운명,121.0,멜로/로맨스,박진표,전도연,황정민,나문희,(주)영화사봄,CJ ENM
20050257,케이브,97.0,드라마,브루스 헌트,콜 하우저,모리스 체스넛,없음,레이크쇼어 엔터테인먼트,CJ ENM
20050152,베니스의 상인,116.0,드라마,마이클 래드포드,린 콜린스,조셉 파인즈,제레미 아이언스,브리티쉬필름카운실,미디어라인코리아
20050258,신화 : 진시황릉의 비밀,122.0,액션,당계례,김희선,양가휘,성룡,차이나필름그룹,씨네그루(주)다우기술
20050259,트랜스포터 엑스트림,87.0,액션,루이스 리테리어,제이슨 스타뎀,앰버 발레타,없음,까날 플러스,티에프원
20050233,강력 3반,111.0,액션,손희창,김민준,허준호,남상미,(주)씨네넷,롯데쇼핑㈜롯데엔터테인먼트
20050250,당신이 사랑하는 동안에,114.0,드라마,폴 맥기건,조쉬 하트넷,다이앤 크루거,로즈 번,메트로-골드윈-마이어,레이크쇼어 엔터테인먼트
20050219,가문의 위기(가문의 영광2),115.0,코미디,정용기,신현준,김수미,김원희,(주)태원엔터테인먼트,(주)쇼박스
20050225,찰리와 초콜릿 공장,114.0,코미디,팀 버튼,프레디 하이모어,조니 뎁,없음,빌리지 로드쇼 픽쳐스,워너브러더스 코리아(주)
20050229,4 브라더스,108.0,액션,존 싱글톤,가렛 헤드룬드,타이레스 깁슨,안드레 벤자민,파라마운트 픽쳐스,UIP코리아
20050180,웰컴 투 동막골,133.0,전쟁,박광현,신하균,정재영,강혜정,필름있수다,(주)쇼박스
20050249,날 미치게하는 남자,102.0,코미디,바비 패럴리,지미 펄론,드류 베리모어,없음,플라워필름,폭스2000픽처스
20050237,미스터 주부퀴즈왕,107.0,코미디,유선동,공형진,김영애,한석규,폴스타엔터테인먼트,(주)쇼박스
20050238,칠검,118.0,액션,서극,견자단,여명,양채니,중국전영합작제편공사,(주)에스씨에스엔터테인먼트
20050245,사랑니,115.0,멜로/로맨스,정지우,김정은,이태성,정유미,(주)시네마서비스,(주)시네마서비스
20050228,보글보글 스폰지밥(애니),87.0,애니메이션,스티븐 힐렌버그,톰 케니,없음,없음,니켈로던 무비즈,파라마운트 픽쳐스
20050222,신데렐라맨,144.0,드라마,론 하워드,르네 젤위거,러셀 크로우,없음,터치스톤 픽쳐스,이메이진엔터테인먼트
20050216,형사 Duelist,113.0,멜로/로맨스,이명세,강동원,안성기,하지원,웰메이드엔터테인먼트,코리아픽쳐스(주)
20050164,더 독,100.0,액션,루이스 리테리어,이연걸,모건 프리먼,없음,TF1 필름 프로덕션,(주)아펙스 엔터테인먼트
20050220,외출,105.0,멜로/로맨스,허진호,배용준,손예진,김광일,블루스톰(주),쇼이스트(주)
20050221,나이트 플라이트,85.0,스릴러,웨스 크레이븐,킬리언 머피,레이첼 맥아담스,없음,드림웍스 SKG,CJ ENM
20050197,종려나무 숲,107.0,드라마,유상욱,김민종,조은숙,김유미,(주)영화사참,휴먼픽쳐스(주)
20050178,박수칠 때 떠나라,115.0,드라마,장진,차승원,신하균,이재용,(주)어나더썬데이,(주)시네마서비스
20050207,크림슨 리버2,98.0,범죄,올리비에 다한,장 르노,브누와 마지멜,없음,TF1 필름 프로덕션,미디어라인코리아
20050108,게스후,105.0,코미디,케빈 로드니 설리반,애쉬튼 커처,베니 맥,없음,이십세기폭스필름코퍼레이션,이십세기폭스필름코퍼레이션
20050205,그녀는 요술쟁이,101.0,코미디,노라 에프론,니콜 키드먼,윌 페렐,없음,콜럼비아 픽쳐스 코포레이션,레드 웨건 프로덕션
20050198,인 굿 컴퍼니,109.0,코미디,폴 웨이츠,토퍼 그레이스,데니스 퀘이드,없음,유니버셜 픽쳐스,스폰지
20050218,랜드 오브 데드,92.0,공포(호러),조지 A. 로메로,데니스 호퍼,사이먼 베이커,없음,익셉션 와일드 번치,UIP코리아
20050185,애프터 선셋,97.0,코미디,브렛 래트너,셀마 헤이엑,피어스 브로스넌,우디 해럴슨,롯데쇼핑㈜롯데엔터테인먼트,㈜코리아스크린
20050189,"이대로, 죽을 순 없다(Short Time)",106.0,코미디,이영은,이범수,최성국,손현주,(주)매쉬필름,쇼이스트(주)
20050186,옹박 : 두번째 미션,110.0,액션,프라챠 핀카엡,토니 자,없음,없음,사하몽콜필름 ,(주)쇼박스
20050148,친절한 금자씨,112.0,스릴러,박찬욱,이영애,최민식,권예영,(주)모호필름,CJ ENM
20050182,스켈리톤 키,103.0,공포(호러),이안 소프틀리,케이트 허드슨,지나 롤랜즈,없음,유니버셜 픽쳐스,쉐도우캐쳐 엔터테인먼트
20050191,오픈 워터,79.0,드라마,크리스 켄티스,블랜차드 라이언,없음,없음,플룬지 픽쳐스,CJ ENM
20050144,아일랜드,135.0,SF,마이클 베이,이완 맥그리거,없음,없음,드림웍스 SKG,워너 브러더스 픽쳐스
20050190,첼로-홍미주 일가 살인사건,94.0,공포(호러),이우철,성현아,박다안,정우철,탁함 필름,(주)튜브엔터테인먼트
20050145,판타스틱4,105.0,액션,팀 스토리,제시카 알바,줄리안 맥마흔,없음,마블 엔터테인먼트,이십세기폭스필름코퍼레이션
20050160,가발,106.0,공포(호러),원신연,방중현,채민서,유선,코리아 엔터테인먼트,CJ ENM
20050165,허비,100.0,코미디,안젤라 로빈슨,마이클 키튼,저스틴 롱,맷 딜런,월트 디즈니 픽쳐스,브에나비스타인터내셔널코리아
20050168,로봇(애니),90.0,코미디,카를로스 살다나,할리 베리,이완 맥그리거,없음,블루스카이스튜디오,투엔티쓰 센츄리-폭스 필름 코퍼레이션
20050163,왕후 심청,94.0,애니메이션,넬슨 신,강희선,최문자,탁원제,코아필름서울(주),(주)영화사한결
20050181,펭귄 - 위대한 모험(다큐),85.0,다큐멘터리,뤽 자케,샤를스 베르링,없음,없음,(주)튜브엔터테인먼트,(주)유레카픽쳐스 
20050140,마다가스카,86.0,애니메이션,톰 맥그라스,벤 스틸러,없음,없음,드림웍스 SKG,CJ ENM
20050143,스팀보이,125.0,애니메이션,오토모 가츠히로,코니시 마나미,나카무라 카츠오,없음,반다이비쥬얼컴패니,선라이즈 필름
20050179,스텔스,116.0,액션,롭 코헨,제시카 비엘,조쉬 루카스,제이미 폭스,콜럼비아 픽쳐스 코포레이션,소니픽쳐스릴리징코리아
20050154,발리언트(애니),75.0,코미디,게리 채프먼,이완 맥그리거,윤택,없음,뱅가드 애니메이션,브에나비스타인터내셔널코리아
20050137,우주전쟁,116.0,드라마,스티븐 스필버그,톰 크루즈,저스틴 채트윈,다코타 패닝,엠블린엔터테인먼트,드림웍스 SKG
20050141,천군,106.0,액션,민준기,박중훈,최경원,황정민,(주)싸이더스,(주)쇼박스
20050176,부기맨,88.0,공포(호러),스테판 케이,배리 왓슨,스카이 맥콜 바투시악,없음,고스트하우스픽처스,(주)쇼박스
20040626,그리스 로마신화 - 올림포스 가디언 - 기간테스 대역습,87.0,액션,김준,손원일,라용원,윤성혜,지엔지엔터테인먼트,(주)가나미디어
20050142,여고괴담 4 : 목소리,104.0,공포(호러),최익환,김옥빈,서지혜,추현경,(주)씨네이천,(주)시네마서비스
20050113,미스터 & 미세스 스미스,120.0,멜로/로맨스,더그 라이만,안젤리나 졸리,브래드 피트,빈스 본,뉴리전시 픽쳐스,이십세기폭스필름코퍼레이션
20050135,분홍신,103.0,공포(호러),김용균,김혜수,김성수,박연아,청년필름(주),씨네클릭 아시아(팬텀)
20050147,샤크보이와 라바걸의 모험 : 3-D,92.0,SF,로버트 로드리게즈,테일러 로트너,테일러 둘리,없음,디멘션 필름즈,콜럼비아 픽쳐스 코포레이션
20050129,셔터,97.0,공포(호러),팍품 웡품,나타웨라누크 통미,아난다 에버링엄,없음,GMM픽처스,CJ ENM
20050110,연애의 목적,121.0,드라마,한재림,강혜정,박해일,이대연,(주)싸이더스,CJ ENM
20050003,2005 [통합]영화제/기획전/회고전 등,,없음,없음,없음,없음,없음,없음,없음
20050112,배트맨 비긴즈,134.0,범죄,크리스토퍼 놀란,리암 니슨,크리스찬 베일,마이클 케인,워너 브러더스 픽쳐스,워너브러더스 코리아(주)
20050084,씬 시티,125.0,범죄,프랭크 밀러,미키 루크,제시카 알바,브루스 윌리스,디멘션 필름즈,쇼이스트(주)
20050130,어썰트 13,109.0,공포(호러),장-프랑소와 리셰,에단 호크,로렌스 피쉬번,없음,포커스필름프로덕션㈜,(주)튜브엔터테인먼트
20050064,간 큰 가족,102.0,코미디,조명남,감우성,김수미,김수로,(주)두사부필름,(주)쇼박스
20050115,사하라,127.0,액션,브렉 에이즈너,페넬로페 크루즈,매튜 매커너히,매튜 매커너히,브리스톨베이프로덕션즈,파라마운트 픽쳐스
20050131,아미티빌 호러,89.0,공포(호러),앤드류 더글라스,멜리사 조지,라이언 레이놀즈,없음,디멘션 필름즈,메트로-골드윈-마이어
20050123,에로스,108.0,드라마,왕가위,공리,장첸,로버트 다우니 주니어,판당고,스폰지
20040638,텍사스 전기톱 연쇄살인사건,98.0,공포(호러),마커스 니스펠,제시카 비엘,없음,없음,뉴라인 시네마,넥스트 엔터테인먼트
20050085,스타워즈 에피소드3 - 시스의복수,139.0,SF,조지 루카스,이완 맥그리거,헤이든 크리스텐슨,나탈리 포트만,루카스필름,이십세기폭스필름코퍼레이션
20050045,"안녕, 형아",95.0,드라마,임태형,박원상,양현우,최우혁,(주)명필름,(주)시네마서비스
20040683,스왈로우테일 버터플라이,147.0,드라마,이와이 슌지,미카미 히로시,차라,이토 아유미,록웰아이즈 (ロックウェルアイズ),(주)튜브엔터테인먼트
20050166,2005년 미장센 단편영화제,,없음,없음,없음,없음,없음,없음,없음
20050087,그루지,92.0,공포(호러),시미즈 다카시,사라 미셀 겔러,베어 제이슨,없음,고스트하우스픽처스,(주)튜브엔터테인먼트
20050083,연애술사,109.0,멜로/로맨스,천세환,연정훈,박진희,김용훈,㈜필름지,CJ ENM
20050117,pm 11:14,85.0,드라마,그레그 마크스,힐러리 스웽크,패트릭 스웨이즈,없음,엠디피 월드와이드,(주)쇼박스
20050062,링2(2005),109.0,공포(호러),나카타 히데오,사이먼 베이커,나오미 왓츠,없음,드림웍스 SKG,CJ ENM
20050126,패시파이어,95.0,액션,아담 쉥크만,빈 디젤,로렌 그레이엄,없음,월트 디즈니 픽쳐스,브에나비스타인터내셔널코리아
20050076,혈의 누,119.0,스릴러,김대승,차승원,박용우,지성,(주)싸이더스,(주)좋은영화
20050111,녹색의자,100.0,드라마,박철수,서정,심지호,김혜옥,합동영화사,(주)박철수필름
20050046,남극일기,114.0,스릴러,임필성,박희순,박선주,유지태,(주)미로비젼,㈜싸이더스픽쳐스
20050015,태풍태양,107.0,드라마,정재은,김강우,김도형,서상원,필름매니아(주),쇼이스트(주)
20050101,하우스 오브 왁스,113.0,공포(호러),자움 세라,채드 마이클 머레이,없음,없음,다크 캐슬 엔터테인먼트,빌리지 로드쇼 픽쳐스
20050077,댄서의 순정,110.0,드라마,박영훈,박건형,김은경,문근영,(주)컬처캡미디어,쇼이스트(주)
20050092,"우리, 사랑일까요?",107.0,드라마,나이젤 콜,애쉬튼 커처,아만다 피트,없음,터치스톤 픽처스,비콘픽쳐스
20050078,킹덤 오브 헤븐,137.0,액션,리들리 스콧,리암 니슨,제레미 아이언스,올랜도 블룸,이십세기폭스필름코퍼레이션,이십세기폭스필름코퍼레이션
20050105,세컨핸드 라이온스,109.0,드라마,팀 맥칸라이즈,로버트 듀발,할리 조엘 오스먼트,마이클 케인,뉴라인 시네마,롯데쇼핑㈜롯데엔터테인먼트
20050061,코치 카터,136.0,드라마,토머스 카터,사무엘 L. 잭슨,로버트 리차드,롭 브라운,엠티비 필름즈,UIP코리아
20050072,착신아리2,106.0,공포(호러),츠카모토 렌페이,요시자와 히사시,미무라,세토 아사카,가도가와픽쳐스,다이에 스튜디오
20050065,트리플 X2 : 넥스트 레벨,100.0,범죄,리 타마호리,사무엘 L. 잭슨,윌렘 데포,아이스 큐브,레볼루션 스튜디오,소니픽쳐스릴리징코리아
20050095,킨제이 보고서,118.0,드라마,빌 콘돈,리암 니슨,로라 린니,없음,아메리칸조이트로프,미디어라인코리아
20050074,밀리언즈,94.0,코미디,대니 보일,알렉산더 나단 에텔,루이스 오웬 맥기본,없음,Pathe Cinema,CJ ENM
20050060,어바웃 러브,100.0,드라마,존 헤이,더그레이 스콧,없음,없음,(주)튜브엔터테인먼트,(주)아이비젼 엔터테인먼트
20050093,폼포코 너구리 대작전,119.0,애니메이션,다카하타 이사오,신초우 코콘데이,노노무라 마코토,이시다 유리코,스튜디오 지브리,대원씨앤에이홀딩스
20050069,인터프리터,128.0,드라마,시드니 폴락,숀 펜,니콜 키드먼,없음,워킹 타이틀 필름,UIP코리아
20050049,주먹이 운다(Crying Fist),134.0,드라마,류승완,최민식,류승범,임원희,(주)브라보엔터테인먼트,시오필름(주)
20040778,마파도,107.0,코미디,추창민,김수미,여운계,이정진,코리아 엔터테인먼트,CJ ENM
20050039,유희왕,86.0,애니메이션,츠지 하츠키,마이크 폴락,웨인 그레이슨,에릭 스튜어트,포키즈엔터테인먼트,스튜디오 갸룹
20040772,역전의 명수,122.0,코미디,박흥식,정준호,윤소이,김응수,(주)태원엔터테인먼트,(주)시네마서비스
20050017,달콤한 인생,120.0,액션,김지운,이병헌,김영철,신민아,(주)영화사봄,CJ ENM
20050034,미트 페어런츠2,115.0,코미디,제이 로치,더스틴 호프만,벤 스틸러,로버트 드 니로,유니버셜 픽쳐스,드림웍스 SKG
20040687,아나콘다2 : 사라지지 않는 저주,96.0,공포(호러),드와이트 H. 리틀,카디 스트릭랜드,조니 메스너,없음,소니픽쳐스릴리징코리아,소니픽쳐스릴리징코리아
20050013,잠복근무,111.0,코미디,박광춘,김원진,공유,김선아,(주)마인엔터테인먼트 ,시리우스픽쳐스(주)
20050029,엄마,96.0,드라마,구성주,고두심,손병호,김유석,필름뱅크(주),영화사청어람(주)
20040754,블랙아웃,97.0,스릴러,필립 카우프만,사무엘 L. 잭슨,앤디 가르시아,애슐리 쥬드,파라마운트 픽쳐스,(주)쇼박스
20050028,밀리언 달러 베이비,132.0,드라마,클린트 이스트우드,힐러리 스웽크,클린트 이스트우드,없음,워너 브러더스 픽쳐스,레이크쇼어 엔터테인먼트
20050058,화이트 노이즈,101.0,공포(호러),제프리 삭스,데보라 카라 웅거,찬드라 웨스트,마이클 키튼,브라이트라이트픽쳐스,UIP코리아
20050048,미스 에이전트2 : 라스베가스 잠입사건,115.0,액션,존 파스킨,산드라 블록,레지나 킹,디트리히 베이더,캐슬 락 엔터테인먼트,워너브러더스 코리아(주)
20050030,쿨,112.0,코미디,F. 게리 그레이,존 트라볼타,우마 서먼,없음,메트로-골드윈-마이어,저지필름
20050042,"지금, 만나러 갑니다",118.0,드라마,도이 노부히로,다케우치 유코,나카무라 시도,없음,도호쿠신샤,(주)디스테이션
20050037,호스티지,113.0,스릴러,플로렝 에밀리오 시리,케빈 폴락,브루스 윌리스,없음,미라맥스 필름즈,쇼이스트(주)
20050033,Mr.히치: 당신을 위한 데이트 코치,118.0,멜로/로맨스,앤디 테넌트,윌 스미스,에바 멘데스,없음,오버브룩 엔터테인먼트,소니픽쳐스릴리징코리아
20040785,말아톤,117.0,드라마,정윤철,조승우,김미숙,이진영,시네라인투(주),(주)쇼박스
20040702,윔블던,98.0,드라마,리차드 론크레인,폴 베타니,커스틴 던스트,없음,스튜디오 카날,워킹 타이틀 필름
20040741,래더 49,114.0,드라마,제이 러셀,존 트라볼타,호아킨 피닉스,없음,터치스톤 픽쳐스,비콘픽쳐스
20050009,몽상가들,114.0,드라마,베르나르도 베르톨루치,에바 그린,마이클 피트,루이 가렐,더 레코디드 픽쳐 프로덕션,찬란
20050014,쏘우,100.0,스릴러,제임스 완,캐리 엘위스,리 워넬,없음,(주)영화사한결,(주)미로비젼
20040751,"여자, 정혜",95.0,드라마,이윤기,김꽃비,김도연,황정민,(주)엘제이필름,(주)쇼박스
20050018,숨바꼭질,102.0,드라마,존 폴슨,로버트 드 니로,다코타 패닝,없음,투엔티쓰 센츄리-폭스 필름 코퍼레이션,조셉슨엔터테인먼트
20050012,레이,152.0,드라마,테일러 핵포드,케리 워싱턴,제이미 폭스,없음,브리스톨베이프로덕션즈,UIP코리아
20050041,인게이지먼트,134.0,드라마,장 피에르 주네,오드리 토투,가스파르 울리엘,없음,워너 브러더스 픽쳐스,까날 플러스
20050011,파송송 계란탁,120.0,코미디,오상훈,이인성,최무인,임창정,(주)굿플레이어,CJ ENM
20050010,콘스탄틴,120.0,드라마,프란시스 로렌스,키아누 리브스,레이첼 와이즈,시아 라뵈프,워너 브러더스 픽쳐스,워너브러더스 코리아(주)
20040786,공공의 적 2,149.0,드라마,강우석,설경구,정준호,유해진,(주)시네마서비스,(주)시네마서비스
20050027,코러스,97.0,드라마,크리스토퍼 파라티에,제라르 쥐노,없음,없음,가라티필름,노보 아투로 필름즈
20040749,에비에이터,169.0,드라마,마틴 스코세이지,케이트 블란쳇,없음,없음,미라맥스 필름즈,포워드패스
20050004,네버랜드를 찾아서,101.0,드라마,마크 포스터,더스틴 호프만,케이트 윈슬렛,조니 뎁,미라맥스 필름즈,브에나비스타인터내셔널코리아
20050016,나인 야드 2,98.0,코미디,하워드 더치,브루스 윌리스,매튜 페리,없음,샤이엔 엔터프라이지즈,프랑시스픽처스
20040771,레드 아이,98.0,공포(호러),김동빈,송일국,장신영,곽지민,태창엔터테인먼트(주),영화사청어람(주)
20040793,"제니, 주노",102.0,드라마,김호준,김혜성,박민지,김유나,(주)컬처캡미디어,쇼이스트(주)
20050008,B형 남자친구,96.0,코미디,최석원,이동건,한지혜,김꽃비,(주)시네마제니스 ,롯데쇼핑㈜롯데엔터테인먼트
20050007,그때 그 사람들,102.0,미스터리,임상수,한석규,백윤식,송재호,(주)엠케이픽처스 ,(주)엠케이픽처스 
20050023,사이드웨이,123.0,드라마,알렉산더 페인,폴 지아마티,토마스 헤이든 처치,없음,폭스써치라이트픽처스,이십세기폭스필름코퍼레이션
20040798,클로저,103.0,멜로/로맨스,마이크 니콜스,나탈리 포트만,주드 로,줄리아 로버츠,워너 브러더스 텔레비전,(주)스튜디오디에이치엘
20040779,레모니 스니켓의 위험한 대결,108.0,코미디,브래드 실버링,짐 캐리,에밀리 브라우닝,없음,드림웍스 SKG,CJ ENM
20040781,피닉스,113.0,액션,존 무어,데니스 퀘이드,없음,없음,투엔티쓰 센츄리-폭스 필름 코퍼레이션,데이비스 엔터테인먼트 필름웍스
20040797,마더 데레사,118.0,드라마,파브리지오 코스타,올리비아 핫세,세바스찬 좀마,없음,미디어필름인터내셔날(주),미디어필름인터내셔날(주)
20040756,하울의 움직이는 성,119.0,애니메이션,미야자키 하야오,바이쇼 치에코,기무라 다쿠야,없음,지브리 스튜디오,(주)이수C&E
20040745,인크레더블,115.0,애니메이션,브래드 버드,홀리 헌터,크레이그 T. 넬슨,사무엘 L. 잭슨,월트 디즈니 픽쳐스,픽사 애니메이션 스튜디오
20040790,뉴 폴리스 스토리,121.0,액션,진목승,성룡,사정봉,없음,차이나필름그룹,(유)영화사 화수분
20040776,쿵푸 허슬,99.0,코미디,주성치,주성치,없음,없음,콜럼비아 픽쳐스 필름 프로덕션,베이징 필름 스튜디오
20040774,몽정기2,101.0,코미디,정초신,이지훈,김지영,전혜빈,(주)엠케이픽처스 ,롯데쇼핑㈜롯데엔터테인먼트
20040791,엘렉트라,88.0,액션,롭 보우먼,제니퍼 가너,고란 비스닉,없음,투엔티쓰 센츄리-폭스 필름 코퍼레이션,리젠시 엔터프라이즈
20040775,키다리 아저씨,98.0,드라마,공정식,하지원,연정훈,신이,웰메이드엔터테인먼트,(주)유빈픽쳐스
20040744,샤크,90.0,애니메이션,비키 젠슨,윌 스미스,로버트 드 니로,없음,드림웍스 애니메이션,드림웍스 SKG
20048103,오션스 트웰브,125.0,범죄,스티븐 소더버그,맷 데이먼,조지 클루니,앤디 가르시아,워너 브러더스 픽쳐스,워너브러더스 코리아(주)
20040713,"나를 책임져, 알피",106.0,코미디,찰스 샤이어,주드 로,마리사 토메이,없음,파라마운트 픽쳐스,UIP코리아
20040705,월드 오브 투모로우,106.0,SF,케리 코란,기네스 팰트로우,주드 로,안젤리나 졸리,파라마운트 픽쳐스,(주)쇼박스
20040755,내셔널 트레져,130.0,액션,존 터틀타웁,다이앤 크루거,니콜라스 케이지,없음,터치스톤 픽처스,제리 브룩하이머 필름
20040706,알렉산더,175.0,전쟁,올리버 스톤,콜린 파렐,안젤리나 졸리,발 킬머,워너브러더스사㈜,인터미디어필름
20040750,신석기 블루스,110.0,코미디,김도혁,김현주,이종혁,이민아,㈜팝콘필름,(주)쇼박스
20040721,오페라의 유령,141.0,뮤지컬,조엘 슈마허,제라드 버틀러,에미 로섬,패트릭 윌슨,워너 브러더스 픽쳐스,(주)팝엔터테인먼트
20040743,브리짓 존스의 일기2 : 열정과 애정,107.0,멜로/로맨스,비번 키드론,르네 젤위거,휴 그랜트,린 콜린스,워킹 타이틀 필름,유니버셜 픽쳐스
20040748,폴라 익스프레스,100.0,애니메이션,로버트 저메키스,톰 행크스,노나 M. 게이,없음,캐슬 락 엔터테인먼트,워너 브러더스 픽쳐스
20040717,블레이드 3,112.0,액션,데이빗 S. 고이어,웨슬리 스나입스,라이언 레이놀즈,없음,뉴라인 시네마,(주)쇼박스
20040682,역도산,137.0,드라마,송해성,설경구,이명수,유병훈,(주)싸이더스,㈜싸이더스픽쳐스
20060319,박물관이 살아있다!,108.0,코미디,숀 레비,벤 스틸러,로빈 윌리엄스,없음,이십세기폭스필름코퍼레이션,1492픽쳐스
20060387,미녀는 괴로워,120.0,멜로/로맨스,김용화,김아중,주진모,김현숙,리얼라이즈픽쳐스(주),케이엠컬쳐㈜
20060357,조폭마누라3,115.0,액션,조진규,최령,이범수,서기,(주)쇼박스,(주)쇼박스
