영화코드,영화명(국문),상영시간,장르,감독,배우1,배우2,배우3,참여 영화사1,참여 영화사2
20152870,에스엠타운 더 스테이지,107.0,다큐멘터리,배성상,없음,없음,없음,(주)에스엠 컬처앤콘텐츠,주식회사 디에스이이디
20156281,성실한 나라의 앨리스,89.0,드라마,안국진,이정현,이해영,서영화,한국영화아카데미,CGV아트하우스
20150501,극장판 요괴워치: 탄생의 비밀이다냥!,96.0,애니메이션,타카하시 시게하루,없음,없음,없음,(주)씨제이이엔엠,(주)씨제이이엔엠
20152372,아마조니아,82.0,다큐멘터리,티에리 라고베르트,없음,없음,없음,(주)영화사 빅,(주)버킷스튜디오
20151302,무민 더 무비,76.0,애니메이션,자비에 피카르,없음,없음,없음,(주)팝엔터테인먼트,주식회사 풍경소리
20140241,고녀석 맛나겠다2 : 함께라서 행복해,82.0,애니메이션,최경석,엄상현,시영준,안장혁,(주)미디어캐슬,(주)리틀빅픽쳐스
20151821,러브 앤 머시,120.0,드라마,빌 포래드,존 쿠삭,폴 다노,엘리자베스 뱅크스,판씨네마(주),판씨네마(주)
20152264,어느 하녀의 일기,96.0,드라마,브누와 쟉꼬,레아 세이두,뱅상 랭동,없음,주식회사 씨네룩스,(주)수키픽쳐스
20134798,연평해전,130.0,드라마,김학순,김무열,김율호,진구,(주)로제타시네마,(주)넥스트엔터테인먼트월드(NEW)
20150522,러덜리스,105.0,코미디,윌리엄 H. 머시,빌리 크루덥,안톤 옐친,셀레나 고메즈,그린나래미디어(주),그린나래미디어(주)
20151002,우먼 인 골드,108.0,드라마,사이먼 커티스,헬렌 미렌,라이언 레이놀즈,다니엘 브륄,(주)팝엔터테인먼트,(주)에이블엔터테인먼트
20151482,종이 달,126.0,드라마,요시다 다이하치,미야자와 리에,이케마츠 소스케,코바야시 사토미,(주)영화사오원,(주)퍼스트런
20158241,픽셀,105.0,액션,크리스 콜럼버스,아담 샌들러,케빈 제임스,미셸 모나한,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유)
20150741,인시디어스 3,97.0,공포(호러),리 워넬,스테파니 스콧,더못 멀로니,린 샤예,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유)
20141384,터미네이터 제니시스,125.0,액션,앨런 테일러,아놀드 슈왈제네거,제이슨 클락,에밀리아 클라크,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트
20060204,포켓몬 레인저와 바다의 왕자 마나피,105.0,애니메이션,유야마 쿠니히코,오오타니 이쿠에,쉬라토리 유리,없음,(주)이수C&E,(주)쇼박스
20098169,쥬라기 월드,124.0,액션,콜린 트레보로우,크리스 프랫,주디 그리어,브라이스 달라스 하워드,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유)
20148844,손님,107.0,판타지,김광태,류승룡,이성민,천우희,(주)유비유필름,(주)씨제이이엔엠
20156301,다크 플레이스,113.0,드라마,질스 파겟-브레너,샤를리즈 테론,제니퍼 피어스 매서스,니콜라스 홀트,(주)스톰픽쳐스코리아,주식회사 우리네트웍스
20141060,쓰리 썸머 나잇,106.0,코미디,김상진,김동욱,임원희,손호준,더램프(주),㈜감독의집
20148855,극비수사,107.0,드라마,곽경택,김윤석,유해진,송영창,(주)제이콘컴퍼니,(주)영화사 신세계
20136057,소수의견,126.0,드라마,김성제,윤계상,유해진,김옥빈,(주)하리마오픽쳐스,(주)시네마서비스
20152337,BiFan2015 판타스틱 단편 걸작선 3,68.0,기타,윤서현,없음,없음,없음,없음,없음
20156970,심야식당,120.0,드라마,마츠오카 조지,코바야시 카오루,오다기리 죠,타카오카 사키,(주)영화사 진진,(주)엔케이컨텐츠
20156749,19곰 테드 2,115.0,코미디,세스 맥팔레인,마크 월버그,세스 맥팔레인,아만다 사이프리드,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유)
20159001,라자루스,83.0,공포(호러),데이빗 겔브,올리비아 와일드,에반 피터스,마크 듀플라스,(유)조이앤시네마,(유)조이앤시네마
20159161,마돈나,120.0,드라마,신수원,서영희,권소현,김영민,준필름,(주)리틀빅픽쳐스
20147803,한여름의 판타지아,97.0,드라마,장건재,김새벽,이와세 료,임형국,(주)모쿠슈라,㈜인디스토리
20133667,폴라로이드,106.0,드라마,주호성,양범,조민서,윤주상,(주)아우라씨엔씨,와이드 릴리즈(주)
20150255,리틀드래곤 코코넛,82.0,애니메이션,허버트 베일란드,없음,없음,없음,(주)영화사 빅,(주)시네마리퍼블릭
20150963,호비와 엄마나무섬의 비밀,61.0,애니메이션,히라바야시 이사무,없음,없음,없음,(주)머스트씨무비릴리징컴퍼니,(주)머스트씨무비릴리징컴퍼니
20142856,나의 절친 악당들,109.0,범죄,임상수,류승범,고준희,류현경,휠므빠말주식회사,이십세기폭스 인터내셔널 프로덕션
20159223,데모닉,83.0,공포(호러),윌 캐논,마리아 벨로,프랭크 그릴로,코디 혼,(주)와우픽쳐스,(주)우성엔터테인먼트
20141224,경성학교: 사라진 소녀들,99.0,미스터리,이해영,박보영,엄지원,박소담,청년필름(주),비밀의화원
20144741,매드 맥스: 분노의 도로,120.0,액션,조지 밀러,톰 하디,샤를리즈 테론,니콜라스 홀트,워너브러더스 코리아(주),워너브러더스 코리아(주)
20159221,정글번치: 너구리 해적단과 보물지도,66.0,애니메이션,에즈라 와이즈,없음,없음,없음,(주)팝엔터테인먼트,그린나래미디어(주)
20144682,샌 안드레아스,114.0,액션,브래드 페이튼,드웨인 존슨,알렉산드리아 다다리오,없음,워너브러더스 코리아(주),워너브러더스 코리아(주)
20158621,스파이,121.0,액션,폴 페이그,주드 로,제이슨 스타뎀,멜리사 맥카시,이십세기폭스코리아(주),이십세기폭스코리아(주)
20150563,베스트 오브 미,115.0,드라마,마이클 호프만,미셸 모나한,제임스 마스던,라이아나 리버라토,메가박스중앙(주)플러스엠,(주)미디어로그
20142402,간신,131.0,사극,민규동,이채민,주지훈,김강우,(주)수필름,롯데쇼핑㈜롯데엔터테인먼트
20140207,꼬마 유령,92.0,판타지,알랑 그스포너,없음,없음,없음,(주)영화사오원,(주)스마일이엔티
20136869,은밀한 유혹,110.0,멜로/로맨스,윤재구,임수정,유연석,이경영,(주)영화사비단길,(주)수필름
20149569,악의 연대기,102.0,스릴러,백운학,손현주,마동석,최다니엘,(주)비에이엔터테인먼트,(주)씨제이이엔엠
20130566,무뢰한,118.0,멜로/로맨스,오승욱,김남길,전도연,박성웅,(주)사나이픽처스,CGV아트하우스
20159582,엘리펀트 송,99.0,미스터리,찰스 비네임,브루스 그린우드,자비에 돌란,없음,(주)엣나인필름,(주)엣나인필름
20150841,카이트,89.0,범죄,랄프 지만,사무엘 L. 잭슨,인디아 아이슬리,캘런 맥오리피,(주)누리픽쳐스,(주)누리픽쳐스
20159748,투모로우랜드,129.0,액션,브래드 버드,조지 클루니,휴 로리,브릿 로버트슨,월트 디즈니 픽쳐스,월트디즈니컴퍼니코리아(주)
20159573,령 : 저주받은 사진,105.0,공포(호러),아사토 마리,나카조 아야미,모리카와 아오이,야마야 카스미,(주)스톰픽쳐스코리아,(주)스톰픽쳐스코리아
20159063,트립 투 이탈리아,108.0,코미디,마이클 윈터바텀,스티브 쿠건,롭 브라이든,없음,찬란,찬란
20140145,홈,93.0,애니메이션,팀 존슨,짐 파슨스,리한나,제니퍼 로페즈,(주)씨제이이엔엠,(주)씨제이이엔엠
20148493,어벤져스: 에이지 오브 울트론,141.0,액션,조스 웨던,로버트 다우니 주니어,크리스 헴스워스,마크 러팔로,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아(주)
20159623,에벌리,92.0,액션,조 린치,셀마 헤이엑,없음,없음,와이드 릴리즈(주),㈜코리아스크린
20159141,피치 퍼펙트: 언프리티 걸즈,114.0,코미디,엘리자베스 뱅크스,안나 켄드릭,헤일리 스테인펠드,레벨 윌슨,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유)
20159442,차일드 44,137.0,스릴러,다니엘 에스피노사,톰 하디,게리 올드만,조엘 킨나만,(주)넥스트엔터테인먼트월드(NEW),(주)누리픽쳐스
20159655,사이코패스,114.0,애니메이션,시오타니 나오요시,하나자와 카나,세키 토모카즈,없음,(주)박수엔터테인먼트,(주)애니플러스
